stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_street,stop_city,stop_region,stop_postcode,stop_country,zone_id,stop_url
6058,"Plymouth (CR 61) & Rutledge Circ","Across from N",  44.944447, -93.443169,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6058
6059,"Plymouth (CR 61) & Merlen Dr","Near side N",  44.948021, -93.441231,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6059
6060,"Plymouth (CR 61) & Cedar Lake Rd","Near side N",  44.949203, -93.441162,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6060
6061,"Plymouth (CR 61) & Twelve Oaks","Near side N",  44.950493, -93.441208,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6061
6062,"Plymouth (CR 61) & Bent Tree Rd","Near side N",  44.952362, -93.441307,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6062
6063,"Plymouth (CR 61) & Woodbridge Tr","Across from N",  44.955788, -93.441444,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6063
6065,"Plymouth (CR 61) & Hilloway Rd","Near side N",  44.959949, -93.441803,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6065
6066,"Plymouth (CR 61) & Sherwood Pl","Near side N",  44.961868, -93.442223,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6066
6067,"Plymouth (CR 61) & Ridgedale Dr","Near side N",  44.965519, -93.442368,"Plymouth (CR 61)",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6067
6069,"CR 73 North & Wayzata N / 394","Mid block S",  44.971752, -93.420830,"CR 73 North",MINNETONKA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6069
607,"Portland Av S & 90 St E","Near side N",  44.840630, -93.268181,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=607
6073,"Xerxes Av S & 64 St W","Near side S",  44.887280, -93.319084,"Xerxes Av S",EDINA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6073
6074,"Xerxes Av S & 65 St W","Across from S",  44.885571, -93.319107,"Xerxes Av S",EDINA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6074
6079,"Valley View Rd & St Johns Av","Near side W",  44.892193, -93.341446,"Valley View Rd",EDINA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6079
608,"Portland Av S & Bischoff Ln","Near side N",  44.843464, -93.268181,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=608
6081,"Valley View Rd & Concord Av","Near side W",  44.892689, -93.344093,"Valley View Rd",EDINA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6081
609,"Portland Av S & 88 St E","Across from N",  44.844208, -93.268196,"Portland Av S",BLOOMINGTON,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=609
6090,"Benton Av & Tingdale Av","Near side W",  44.897213, -93.353287,"Benton Av",EDINA,,,,,http://www.metrotransit.org/NexTripBadge.aspx?stopnumber=6090
