fare_id,price,currency_type,payment_method,transfers,transfer_duration
708,2.45,USD,1,,
709,2.10,USD,1,,
710,2.10,USD,1,,
711,2.10,USD,1,,
712,2.10,USD,1,,
713,2.10,USD,1,,
714,2.10,USD,1,,
715,6.20,USD,1,,
716,2.10,USD,1,,
717,2.10,USD,1,,
718,2.70,USD,1,,
719,3.10,USD,1,,
720,3.55,USD,1,,
721,3.90,USD,1,,
722,4.40,USD,1,,
723,4.80,USD,1,,
724,3.55,USD,1,,
725,4.75,USD,1,,
726,5.15,USD,1,,
727,4.60,USD,1,,
728,4.50,USD,1,,
729,4.35,USD,1,,
730,3.95,USD,1,,
731,3.75,USD,1,,
732,3.30,USD,1,,
733,2.60,USD,1,,
734,2.10,USD,1,,
735,2.10,USD,1,,
736,3.70,USD,1,,
737,3.70,USD,1,,
738,3.70,USD,1,,
739,3.70,USD,1,,
740,3.90,USD,1,,
741,4.00,USD,1,,
742,4.30,USD,1,,
743,4.40,USD,1,,
744,4.55,USD,1,,
745,8.60,USD,1,,
746,5.25,USD,1,,
747,6.00,USD,1,,
748,6.30,USD,1,,
749,5.30,USD,1,,
750,6.00,USD,1,,
751,5.00,USD,1,,
752,5.30,USD,1,,
753,10.30,USD,1,,
754,5.65,USD,1,,
755,4.30,USD,1,,
756,3.45,USD,1,,
757,3.25,USD,1,,
758,2.95,USD,1,,
759,2.60,USD,1,,
760,2.45,USD,1,,
761,2.30,USD,1,,
762,2.10,USD,1,,
763,2.10,USD,1,,
764,2.10,USD,1,,
765,2.10,USD,1,,
766,6.20,USD,1,,
767,2.10,USD,1,,
768,2.10,USD,1,,
769,2.60,USD,1,,
770,3.10,USD,1,,
771,3.60,USD,1,,
772,4.15,USD,1,,
773,4.50,USD,1,,
774,3.10,USD,1,,
775,4.45,USD,1,,
776,5.30,USD,1,,
777,4.75,USD,1,,
778,4.80,USD,1,,
779,4.55,USD,1,,
780,4.10,USD,1,,
781,3.95,USD,1,,
782,3.55,USD,1,,
783,2.95,USD,1,,
784,2.15,USD,1,,
785,2.10,USD,1,,
786,4.20,USD,1,,
787,4.20,USD,1,,
788,4.20,USD,1,,
789,4.20,USD,1,,
790,4.40,USD,1,,
791,4.50,USD,1,,
792,4.60,USD,1,,
793,4.70,USD,1,,
794,4.85,USD,1,,
795,8.60,USD,1,,
796,4.95,USD,1,,
797,5.75,USD,1,,
798,6.00,USD,1,,
799,5.50,USD,1,,
800,6.15,USD,1,,
801,5.25,USD,1,,
802,5.50,USD,1,,
803,10.50,USD,1,,
804,5.85,USD,1,,
805,4.10,USD,1,,
806,3.70,USD,1,,
807,3.45,USD,1,,
808,3.30,USD,1,,
809,2.95,USD,1,,
810,2.80,USD,1,,
811,2.65,USD,1,,
812,2.40,USD,1,,
813,2.10,USD,1,,
814,2.10,USD,1,,
815,2.10,USD,1,,
816,2.10,USD,1,,
817,6.20,USD,1,,
818,2.10,USD,1,,
819,2.10,USD,1,,
820,2.75,USD,1,,
821,3.25,USD,1,,
822,3.90,USD,1,,
823,4.30,USD,1,,
824,2.75,USD,1,,
825,4.25,USD,1,,
826,5.50,USD,1,,
827,4.95,USD,1,,
828,5.05,USD,1,,
829,4.75,USD,1,,
830,4.30,USD,1,,
831,4.15,USD,1,,
832,3.75,USD,1,,
833,3.35,USD,1,,
834,2.45,USD,1,,
835,2.35,USD,1,,
836,4.50,USD,1,,
837,4.50,USD,1,,
838,4.50,USD,1,,
839,4.50,USD,1,,
840,4.65,USD,1,,
841,4.70,USD,1,,
842,4.85,USD,1,,
843,4.90,USD,1,,
844,5.05,USD,1,,
845,6.50,USD,1,,
846,4.75,USD,1,,
847,5.55,USD,1,,
848,5.80,USD,1,,
849,5.70,USD,1,,
850,6.35,USD,1,,
851,5.55,USD,1,,
852,5.80,USD,1,,
853,10.80,USD,1,,
854,6.20,USD,1,,
855,3.80,USD,1,,
856,4.00,USD,1,,
857,3.80,USD,1,,
858,3.60,USD,1,,
859,3.40,USD,1,,
860,3.35,USD,1,,
861,3.15,USD,1,,
862,2.90,USD,1,,
863,2.70,USD,1,,
864,2.70,USD,1,,
865,2.70,USD,1,,
866,2.10,USD,1,,
867,2.10,USD,1,,
868,6.20,USD,1,,
869,2.10,USD,1,,
870,2.10,USD,1,,
871,2.75,USD,1,,
872,3.55,USD,1,,
873,3.95,USD,1,,
874,2.10,USD,1,,
875,3.95,USD,1,,
876,5.85,USD,1,,
877,5.25,USD,1,,
878,5.35,USD,1,,
879,5.05,USD,1,,
880,4.65,USD,1,,
881,4.45,USD,1,,
882,4.10,USD,1,,
883,3.65,USD,1,,
884,2.95,USD,1,,
885,2.85,USD,1,,
886,4.90,USD,1,,
887,4.90,USD,1,,
888,4.90,USD,1,,
889,4.90,USD,1,,
890,4.95,USD,1,,
891,5.00,USD,1,,
892,5.15,USD,1,,
893,5.25,USD,1,,
894,5.35,USD,1,,
895,8.60,USD,1,,
896,4.45,USD,1,,
897,5.20,USD,1,,
898,5.50,USD,1,,
899,6.00,USD,1,,
900,6.70,USD,1,,
901,5.80,USD,1,,
902,6.10,USD,1,,
903,11.10,USD,1,,
904,6.45,USD,1,,
905,2.10,USD,1,,
906,4.25,USD,1,,
907,4.00,USD,1,,
908,3.85,USD,1,,
909,3.65,USD,1,,
910,3.60,USD,1,,
911,3.50,USD,1,,
912,3.30,USD,1,,
913,3.10,USD,1,,
914,3.10,USD,1,,
915,3.10,USD,1,,
916,2.60,USD,1,,
917,2.10,USD,1,,
918,2.10,USD,1,,
919,6.20,USD,1,,
920,2.10,USD,1,,
921,2.10,USD,1,,
922,2.10,USD,1,,
923,2.10,USD,1,,
924,2.10,USD,1,,
925,2.10,USD,1,,
926,6.10,USD,1,,
927,5.55,USD,1,,
928,5.60,USD,1,,
929,5.30,USD,1,,
930,4.85,USD,1,,
931,4.70,USD,1,,
932,4.30,USD,1,,
933,3.90,USD,1,,
934,3.30,USD,1,,
935,3.30,USD,1,,
936,5.10,USD,1,,
937,5.10,USD,1,,
938,5.10,USD,1,,
939,5.10,USD,1,,
940,5.20,USD,1,,
941,5.25,USD,1,,
942,5.40,USD,1,,
943,5.50,USD,1,,
944,5.60,USD,1,,
945,8.60,USD,1,,
946,4.20,USD,1,,
947,4.95,USD,1,,
948,5.25,USD,1,,
949,6.25,USD,1,,
950,6.95,USD,1,,
951,6.10,USD,1,,
952,6.40,USD,1,,
953,11.40,USD,1,,
954,6.75,USD,1,,
955,3.85,USD,1,,
956,4.55,USD,1,,
957,4.35,USD,1,,
958,4.15,USD,1,,
959,3.95,USD,1,,
