route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
12,2022_02_14-SU-MVS-Sunday-27,1061188,Dublin/Pleasanton,0,,1001744_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061224,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061189,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061225,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061190,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061226,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061191,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061227,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061192,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061228,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061193,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061229,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061194,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061230,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061195,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061231,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061196,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061232,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061197,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061233,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061198,Dublin/Pleasanton,0,,1061189_shp,,1,1
11,2022_02_14-SU-MVS-Sunday-27,1061234,Daly City,1,,1061252_shp,,1,1
12,2022_02_14-SU-MVS-Sunday-27,1061199,Dublin/Pleasanton,0,,1061189_shp,,1,1
