stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
15953,,Valencia/Cmo de la Tierra,W VALENCIA RD & S CMO DE LA TIERRA,32.133881,-111.038699,,,,,0
15955,,Valencia/Caballo Rd,W VALENCIA RD & S CABALLO RD,32.132767,-111.052845,,,,,0
15956,,Valencia/Cmo de Oeste,W VALENCIA RD & S CMO DE OESTE,32.133563,-111.063499,,,,,0
15957,,Valencia/Mark,W VALENCIA RD & S MARK RD,32.133512,-111.072542,,,,,0
15958,,Grant/Sunny Dr,E GRANT RD & N PSO DEL NORTE,32.250744,-110.862619,,,,,0
15959,,Valencia/Mark,W VALENCIA RD & UNKNOWN,32.133357,-111.070893,,,,,0
15960,,Valencia/Cmo de Oeste,W VALENCIA RD & S CMO DE OESTE,32.133366,-111.062318,,,,,0
15962,,Valencia/Cmo de la Tierra,W VALENCIA RD & S CMO DE LA TIERRA,32.133597,-111.036784,,,,,0
15963,,Silverbell/Rainbow Ridge,N SILVERBELL RD & W RAINBOW RIDGE RD,32.246643,-111.011055,,,,,0
15964,,Oracle/Golder Ranch Dr,N ORACLE RD & E GOLDER RANCH DR,32.48258,-110.921869,,,,,0
15968,,C Concordia/Shadow Mountain Dr,W C CONCORDIA & E C CONCORDIA,32.37369,-110.969964,,,,,0
15970,,Coachline/Rivulet Dr,N COACHLINE BLVD & W RIVULET DR,32.367874,-111.121984,,,,,0
15971,,Pantano/22nd St,S PANTANO RD & N MAIN AVE,32.205674,-110.827046,,,,,0
15972,,Innovation Pk Dr/Tangerine Rd,E INNOVATION PARK DR & N NORTHERN AVE,32.432194,-110.947457,,,,,0
15974,,Innovation Pk Dr/Vistoso Commerce Pl,E INNOVATION PARK DR,32.438323,-110.944604,,,,,0
15976,,River/River Crossing Ln,W RIVER RD & N BREEDEN DR,32.29767,-110.984001,,,,,0
15977,,Thornydale/Horizon Hills Dr,N THORNYDALE RD & W COSTCO DR,32.330278,-111.046362,,,,,0
15978,,Nogales Hy/Abrego Dr,S NOGALES HWY & N ABREGO DR,31.91139,-110.98241,,,,,0
15979,,Sahuarita Rd/Desert Gem,W SAHUARITA RD & UNKNOWN,31.956824,-110.974133,,,,,0
15982,,Trader Ln/Front St,W CMO ALAMEDA & S LA CANADA DR,31.867585,-110.993655,,,,,0
15983,,Park Centre Av/Continental Rd,S PARK CENTRE AVE & E CONTINENTAL RD,31.85856,-110.977676,,,,,0
15989,,Rancho Sahuarita Bl/Sahuarita Rd,S RANCHO SAHUARITA BLVD,31.96004,-110.983321,,,,,0
15999,,Pima Mine Rd/I-19,UNKNOWN,32.004595,-110.98827,,,,,0
16013,,Tohono Transit Center,N TOHONO TRANSIT CENTER DR & E ADAMS ST,32.288622,-110.967882,,,,,0
16023,,Silverbell/Cortaro Rd,N SILVERBELL RD & N CORTARO RD,32.350322,-111.100385,,,,,0
16024,,Silverbell/Nueva Vista,N SILVERBELL RD & W NUEVA VISTA DR,32.354622,-111.11005,,,,,0
16025,,Silverbell/Wade Rd,N SILVERBELL RD & N WADE RD,32.356212,-111.112099,,,,,0
16026,,Silverbell/Somerton Dr,N SILVERBELL RD & W SOMERTON DR,32.359565,-111.114945,,,,,0
16027,,Coachline/Twin Peaks,N COACHLINE BLVD & W TWIN PEAKS RD,32.374753,-111.127279,,,,,0
16028,,Silverbell/Twin Peaks,N SILVERBELL RD & W TWIN PEAKS RD,32.372593,-111.136818,,,,,0
16029,,Silverbell/Continental Reserve Lp,N SILVERBELL RD,32.358719,-111.114647,,,,,0
16030,,Cortaro Rd/Silverbell,N SILVERBELL RD & N CORTARO RD,32.34795,-111.099177,,,,,0
16031,,Schisler Dr/Mamie Kai Dr,N SCHISLER DR & W MAMIE KAI DR,32.348453,-111.09614,,,,,0
16032,,Tangerine/Thornydale,W TANGERINE RD & N THORNYDALE RD,32.42587,-111.045136,,,,,0
16033,,Thornydale/Linda Vista Bl,N THORNYDALE RD & W LINDA VISTA BLVD,32.380633,-111.046946,,,,,0
16034,,Thornydale/Cortaro Farms Rd,N THORNYDALE RD & W CORTARO FARMS RD,32.358882,-111.047028,,,,,0
16035,,Thornydale/Massingale Rd,N THORNYDALE RD & W MASSINGALE RD,32.344529,-111.047014,,,,,0
16036,,Thornydale/Ina Rd,N THORNYDALE RD & W INA RD,32.337872,-111.046784,,,,,0
16037,,Thornydale/Massingale Rd,N THORNYDALE RD & W MASSINGALE RD,32.344949,-111.046797,,,,,0
16038,,Thornydale/Cortaro Farms Rd,N THORNYDALE RD & W CORTARO FARMS RD,32.359293,-111.046811,,,,,0
16039,,Thornydale/Linda Vista Bl,N THORNYDALE RD & W LINDA VISTA BLVD,32.381046,-111.046889,,,,,0
16040,,Sunrise Dr/Kolb,E SUNRISE DR & UNNAMED,32.308931,-110.845131,,,,,0
16041,,Escalante/Pantano,E ESCALANTE RD & S CARSON AVE,32.177464,-110.824255,,,,,0
16042,,Sunflower Park/Sunflower Ridge,N SUNFLOWER PARK DR & N SUNFLOWER RIDGE RD,32.377224,-111.131828,,,,,0
16043,,Country Club/Winsett,S COUNTRY CLUB RD & E 17TH ST,32.213972,-110.926708,,,,,0
16044,,Oro Valley Marketplace,E TANGERINE RD & E INNOVATION PARK DR,32.424341,-110.94043,,,,,0
16045,,36th St/La Cholla,W 36TH ST & S LA CHOLLA BLVD,32.19231,-111.011183,,,,,0
16047,,Cardinal/Valencia,S CARDINAL AVE & W VALENCIA RD,32.134819,-111.028729,,,,,0
16048,,Cardinal/San Paulus,S CARDINAL AVE & W CMO ORO BLANCO,32.137869,-111.028611,,,,,0
16049,,Cardinal/Bilby,S CARDINAL AVE & W QUAIL RD,32.14145,-111.028637,,,,,0
16050,,Cardinal/Bilby,S CARDINAL AVE & W BILBY RD,32.140849,-111.028633,,,,,0
16051,,Cardinal/Alvaro,S CARDINAL AVE & W DOVE RD,32.145058,-111.028651,,,,,0
16052,,Cardinal/Alvaro,S CARDINAL AVE & W ALVARO RD,32.144367,-111.028712,,,,,0
16053,,Valencia/Settler Av,W VALENCIA RD & S SETTLER AVE,32.132721,-111.053953,,,,,0
16055,,6th St/Campbell,E 6TH ST & N MARTIN AVE,32.227934,-110.94447,,,,,0
16056,,Irvington/Mission,W IRVINGTON RD & S MISSION RD,32.159496,-111.007836,,,,,0
16058,,C Don Miguel/Cmo de Oeste,W C DON MIGUEL & S AVE DON FERNANDO,32.170073,-111.063121,,,,,0
16059,,Kinney Rd/Bopp Rd,S KINNEY RD & S AMBER ROCK AVE,32.177458,-111.079148,,,,,0
16060,,Western Way Ci/Kinney Rd,W WESTERN WAY CIR & S KINNEY RD,32.186743,-111.091524,,,,,0
16061,,Bopp Rd/Thornton(Donald),W BOPP RD & S THORNTON AVE,32.177349,-111.101699,,,,,0
16062,,Bopp Rd/San Joaquin Rd,W BOPP RD & S SAN JOAQUIN RD,32.177239,-111.145022,,,,,0
16063,,Cmo Verde/Old Ajo Hwy,N CMO VERDE & W OLD AJO HWY,32.161349,-111.105544,,,,,0
16064,,Branding Iron Ci/Lightning L Pl,S BRANDING IRON CIR & W LIGHTNING L,32.144938,-111.109508,,,,,0
16066,,Sunset Bl/Louisiana(Irvington),S SUNSET BLVD & W LOUISIANA ST,32.159552,-111.084721,,,,,0
16067,,Irvington/Butts(Sheridan),W IRVINGTON RD & S BUTTS RD,32.162634,-111.07542,,,,,0
16069,,Anway Rd/Avra Valley Rd,N ANWAY RD & W AVRA VALLEY RD,32.378981,-111.321185,,,,,0
