stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"74285","","NE 116TH ST & 115TH LN NE","","47.704071","-122.186424","19"
"74290","","NE 116TH ST & 108TH AVE NE","","47.7040482","-122.197571","19"
"74300","","NE 116TH ST & 104TH AVE NE","","47.7040672","-122.203171","19"
"74310","","NE 116TH ST & 101ST PL NE","","47.7040825","-122.205986","19"
"74318","","18TH AVE & MARKET ST","","47.6895981","-122.20948","19"
"74320","","18TH AVE & 3RD ST","","47.689579","-122.205139","19"
"74321","","124TH AVE NE & SLATER AVE NE","","47.7024422","-122.175903","19"
"74322","","124TH AVE NE & NE 110TH PL","","47.6988792","-122.175888","19"
"74324","","124TH AVE NE & NE 108TH PL","","47.6973305","-122.175873","19"
"68065","","BELLEVUE REDMOND RD & 130TH AVE NE","","47.621357","-122.167664","19"
"68066","","BELLEVUE REDMOND RD & 124TH AVE NE","","47.6199379","-122.174454","19"
"68067","","NE BELLEVUE REDMOND RD & 132ND AVE NE","","47.622139","-122.163925","19"
"68068","","NE BELLEVUE REDMOND RD & 140TH AVE NE","","47.6244926","-122.152725","19"
"68069","","NE BELLEVUE REDMOND RD & 143RD AVE NE","","47.6250648","-122.149879","19"
"68070","","NE BELLEVUE REDMOND RD & 136TH AVE NE","","47.6229973","-122.159851","19"
"68081","","NE 8TH ST & 118TH AVE NE","","47.617363","-122.183571","19"
"68085","","NE 8TH ST & 116TH AVE NE","","47.6172295","-122.184959","19"
"68094","","NE 8TH ST & 120TH AVE NE","","47.61726","-122.179947","19"
"68100","","NE 8TH ST & 124TH AVE NE","","47.6172714","-122.174591","19"
"68130","","NE 8TH ST & 131ST AVE NE","","47.6171265","-122.16246","19"
"68150","","NE 8TH ST & 140TH AVE NE","","47.6170731","-122.153091","19"
"68160","","NE 8TH ST & 143RD AVE NE","","47.6170464","-122.149101","19"
"68180","","NE 8TH ST & 148TH AVE NE","","47.6169701","-122.142014","19"
"68200","","NE 8TH ST & 156TH AVE NE","","47.6169357","-122.13121","19"
"68210","","NE 8TH ST & 160TH AVE NE","","47.6169319","-122.129005","19"
"68220","","NE 8TH ST & 164TH AVE NE","","47.6169052","-122.126305","19"
"68230","","NE 8TH ST & 164TH AVE NE","","47.6168976","-122.123886","19"
"68240","","NE 8TH ST & 164TH AVE NE","","47.6168785","-122.121292","19"
"68250","","NE 8TH ST & 165TH AVE NE","","47.6168594","-122.119598","19"
"68260","","NE 8TH ST & 167TH AVE NE","","47.6168213","-122.117508","19"
"68270","","NE 8TH ST & 170TH PL NE","","47.6167755","-122.114708","19"
"68280","","NE 8TH ST & 172ND AVE NE","","47.6167259","-122.111328","19"
"68290","","NE 8TH ST & 172ND PL NE","","47.6167107","-122.108681","19"
"68300","","NORTHUP WAY & NE 10TH ST","","47.6183891","-122.108925","19"
"68310","","NORTHUP WAY & 170TH AVE NE","","47.6215134","-122.112343","19"
"68330","","NORTHUP WAY & 168TH AVE NE","","47.6231003","-122.117233","19"
"68340","","NORTHUP WAY & 165TH AVE NE","","47.6239166","-122.119774","19"
"68351","","116TH AVE NE & NE 19TH ST","","47.6268959","-122.185768","19"
"68352","","116TH AVE NE & NE 19TH ST","","47.6272888","-122.185547","19"
"68353","","116TH AVE NE & NE 12TH ST","","47.6222954","-122.185783","19"
"68354","","116TH AVE NE & NORTHUP WAY","","47.6324577","-122.185524","19"
"68355","","116TH AVE NE & NORTHUP WAY","","47.6325264","-122.185722","19"
"68360","","156TH AVE NE & NORTHUP WAY","","47.6287613","-122.132256","19"
"68370","","NE 24TH ST & 156TH AVE NE","","47.6315193","-122.131729","19"
"68372","","NE 24TH ST & 160TH AVE NE","","47.6314087","-122.127136","19"
