route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
28,76280-1111100-0,16190449,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190484,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190451,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190486,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190453,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190488,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190455,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190490,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190457,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190492,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190459,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190494,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190461,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190496,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190463,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190498,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190465,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190500,"Shelter Island",1,West,902802,28_3_52,1,2,Shelter Island
28,76280-1111100-0,16190467,"Shelter Island",1,West,902801,28_3_52,1,2,Shelter Island
35,76280-1111100-0,16190516,"Old Town",0,East,903501,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190546,"Old Town",0,East,903502,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190518,"Old Town",0,East,903501,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190574,"Old Town",0,East,903503,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190548,"Old Town",0,East,903502,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190614,"Old Town",0,East,903505,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190520,"Old Town",0,East,903501,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190594,"Old Town",0,East,903504,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190576,"Old Town",0,East,903503,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190550,"Old Town",0,East,903502,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190616,"Old Town",0,East,903505,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190522,"Old Town",0,East,903501,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190596,"Old Town",0,East,903504,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190578,"Old Town",0,East,903503,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190552,"Old Town",0,East,903502,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190618,"Old Town",0,East,903505,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190524,"Old Town",0,East,903501,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190598,"Old Town",0,East,903504,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190580,"Old Town",0,East,903503,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190554,"Old Town",0,East,903502,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190620,"Old Town",0,East,903505,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190526,"Old Town",0,East,903501,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190600,"Old Town",0,East,903504,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190582,"Old Town",0,East,903503,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190556,"Old Town",0,East,903502,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190622,"Old Town",0,East,903505,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190528,"Old Town",0,East,903501,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190602,"Old Town",0,East,903504,35_2_49,1,2,Old Twn
35,76280-1111100-0,16190584,"Old Town",0,East,903503,35_2_49,1,2,Old Twn
