trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
183,20:54:00,20:54:00,70091,16,,0,0,49958.4860954787,1,,,,,1,1,,,,,,,,,,,
183,20:57:00,20:57:00,70081,17,,0,0,52282.9029496548,1,,,,,1,1,,,,,,,,,,,
183,21:03:00,21:03:00,70061,18,,0,0,56605.6911251373,1,,,,,1,1,,,,,,,,,,,
183,21:08:00,21:08:00,70051,19,,0,0,60758.1579199088,1,,,,,1,1,,,,,,,,,,,
183,21:12:00,21:12:00,70041,20,,0,0,63727.0595235361,1,,,,,1,1,,,,,,,,,,,
183,21:18:00,21:18:00,70031,21,,0,0,70402.2438925509,1,,,,,1,1,,,,,,,,,,,
183,21:24:00,21:24:00,70021,22,,0,0,75820.7075686596,1,,,,,1,1,,,,,,,,,,,
183,21:31:00,21:31:00,70011,23,,0,0,78343.85336872,1,,,,,1,1,,,,,,,,,,,
185,20:24:00,20:24:00,70261,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
185,20:30:00,20:30:00,70241,2,,0,0,4150.37131800785,1,,,,,1,1,,,,,,,,,,,
185,20:36:00,20:36:00,70231,3,,0,0,10038.0785439453,1,,,,,1,1,,,,,,,,,,,
185,20:40:00,20:40:00,70221,4,,0,0,13225.9187231417,1,,,,,1,1,,,,,,,,,,,
185,20:45:00,20:45:00,70211,5,,0,0,17536.7322440077,1,,,,,1,1,,,,,,,,,,,
185,20:49:00,20:49:00,70201,6,,0,0,20644.22301489,1,,,,,1,1,,,,,,,,,,,
185,20:53:00,20:53:00,70191,7,,0,0,24584.7783321232,1,,,,,1,1,,,,,,,,,,,
185,20:57:00,20:57:00,70171,8,,0,0,27132.7246515711,1,,,,,1,1,,,,,,,,,,,
185,21:00:00,21:00:00,70161,9,,0,0,29148.2160905022,1,,,,,1,1,,,,,,,,,,,
185,21:06:00,21:06:00,70141,10,,0,0,34751.7363040124,1,,,,,1,1,,,,,,,,,,,
185,21:10:00,21:10:00,70131,11,,0,0,38246.270934417,1,,,,,1,1,,,,,,,,,,,
185,21:14:00,21:14:00,70121,12,,0,0,40231.7913188154,1,,,,,1,1,,,,,,,,,,,
185,21:17:00,21:17:00,70111,13,,0,0,43568.4223268357,1,,,,,1,1,,,,,,,,,,,
185,21:20:00,21:20:00,70101,14,,0,0,44915.9317421082,1,,,,,1,1,,,,,,,,,,,
185,21:24:00,21:24:00,70091,15,,0,0,47053.6608398715,1,,,,,1,1,,,,,,,,,,,
185,21:27:00,21:27:00,70081,16,,0,0,49378.0776940477,1,,,,,1,1,,,,,,,,,,,
185,21:33:00,21:33:00,70061,17,,0,0,53700.8658695301,1,,,,,1,1,,,,,,,,,,,
185,21:38:00,21:38:00,70051,18,,0,0,57853.3326643016,1,,,,,1,1,,,,,,,,,,,
185,21:42:00,21:42:00,70041,19,,0,0,60822.234267929,1,,,,,1,1,,,,,,,,,,,
185,21:48:00,21:48:00,70031,20,,0,0,67497.4186369437,1,,,,,1,1,,,,,,,,,,,
185,21:54:00,21:54:00,70021,21,,0,0,72915.8823130524,1,,,,,1,1,,,,,,,,,,,
185,22:01:00,22:01:00,70011,22,,0,0,75439.0281131,1,,,,,1,1,,,,,,,,,,,
152,04:36:00,04:36:00,70012,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
152,04:41:00,04:41:00,70022,2,,0,0,2521.94934933267,1,,,,,1,1,,,,,,,,,,,
152,04:46:00,04:46:00,70032,3,,0,0,7940.93034484254,1,,,,,1,1,,,,,,,,,,,
152,04:53:00,04:53:00,70042,4,,0,0,14613.2736159932,1,,,,,1,1,,,,,,,,,,,
152,04:57:00,04:57:00,70052,5,,0,0,17578.1272005112,1,,,,,1,1,,,,,,,,,,,
152,05:01:00,05:01:00,70062,6,,0,0,21732.9192696271,1,,,,,1,1,,,,,,,,,,,
152,05:06:00,05:06:00,70082,7,,0,0,26053.3479747919,1,,,,,1,1,,,,,,,,,,,
152,05:10:00,05:10:00,70092,8,,0,0,28362.8558884357,1,,,,,1,1,,,,,,,,,,,
152,05:13:00,05:13:00,70102,9,,0,0,30511.8480134904,1,,,,,1,1,,,,,,,,,,,
152,05:17:00,05:17:00,70112,10,,0,0,31878.7256548046,1,,,,,1,1,,,,,,,,,,,
152,05:20:00,05:20:00,70122,11,,0,0,35212.0458208571,1,,,,,1,1,,,,,,,,,,,
152,05:24:00,05:24:00,70132,12,,0,0,37207.2178908747,1,,,,,1,1,,,,,,,,,,,
152,05:28:00,05:28:00,70142,13,,0,0,40699.83601255,1,,,,,1,1,,,,,,,,,,,
152,05:34:00,05:34:00,70162,14,,0,0,46300.402724733,1,,,,,1,1,,,,,,,,,,,
152,05:38:00,05:38:00,70172,15,,0,0,48311.7850394217,1,,,,,1,1,,,,,,,,,,,
152,05:41:00,05:41:00,70192,16,,0,0,50860.0549441973,1,,,,,1,1,,,,,,,,,,,
152,05:46:00,05:46:00,70202,17,,0,0,54799.7400551531,1,,,,,1,1,,,,,,,,,,,
152,05:50:00,05:50:00,70212,18,,0,0,57908.1543305167,1,,,,,1,1,,,,,,,,,,,
152,05:55:00,05:55:00,70222,19,,0,0,62220.6717506637,1,,,,,1,1,,,,,,,,,,,
152,05:59:00,05:59:00,70232,20,,0,0,65410.6155241102,1,,,,,1,1,,,,,,,,,,,
152,06:05:00,06:05:00,70242,21,,0,0,71300.2956555954,1,,,,,1,1,,,,,,,,,,,
152,06:12:00,06:12:00,70262,22,,0,0,75461.5212767299,1,,,,,1,1,,,,,,,,,,,
663,06:54:00,06:54:00,70321,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
663,07:03:00,07:03:00,70311,2,,0,0,9881.41415529861,1,,,,,1,1,,,,,,,,,,,
663,07:09:00,07:09:00,70301,3,,0,0,15979.1132025303,1,,,,,1,1,,,,,,,,,,,
